no,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,class
0,0.6455696203,0.7954545455,0.2028985507,0.08,0
1,0.6202531646,0.6818181818,0.2028985507,0.08,0
2,0.5949367089,0.7272727273,0.1884057971,0.08,0
3,0.582278481,0.7045454545,0.2173913043,0.08,0
4,0.6329113924,0.8181818182,0.2028985507,0.08,0
5,0.6835443038,0.8863636364,0.2463768116,0.16,0
6,0.582278481,0.7727272727,0.2028985507,0.12,0
7,0.6329113924,0.7727272727,0.2173913043,0.08,0
8,0.5569620253,0.6590909091,0.2028985507,0.08,0
9,0.6202531646,0.7045454545,0.2173913043,0.04,0
10,0.6835443038,0.8409090909,0.2173913043,0.08,0
11,0.6075949367,0.7727272727,0.231884058,0.08,0
12,0.6075949367,0.6818181818,0.2028985507,0.04,0
13,0.5443037975,0.6818181818,0.1594202899,0.04,0
14,0.7341772152,0.9090909091,0.1739130435,0.08,0
15,0.7215189873,1,0.2173913043,0.16,0
16,0.6835443038,0.8863636364,0.1884057971,0.16,0
17,0.6455696203,0.7954545455,0.2028985507,0.12,0
18,0.7215189873,0.8636363636,0.2463768116,0.12,0
19,0.6455696203,0.8636363636,0.2173913043,0.12,0
20,0.6835443038,0.7727272727,0.2463768116,0.08,0
21,0.6455696203,0.8409090909,0.2173913043,0.16,0
22,0.582278481,0.8181818182,0.1449275362,0.08,0
23,0.6455696203,0.75,0.2463768116,0.2,0
24,0.6075949367,0.7727272727,0.2753623188,0.08,0
25,0.6329113924,0.6818181818,0.231884058,0.08,0
26,0.6329113924,0.7727272727,0.231884058,0.16,0
27,0.6582278481,0.7954545455,0.2173913043,0.08,0
28,0.6582278481,0.7727272727,0.2028985507,0.08,0
29,0.5949367089,0.7272727273,0.231884058,0.08,0
30,0.6075949367,0.7045454545,0.231884058,0.08,0
31,0.6835443038,0.7727272727,0.2173913043,0.16,0
32,0.6582278481,0.9318181818,0.2173913043,0.04,0
33,0.6962025316,0.9545454545,0.2028985507,0.08,0
34,0.6202531646,0.7045454545,0.2173913043,0.04,0
35,0.6329113924,0.7272727273,0.1739130435,0.08,0
36,0.6962025316,0.7954545455,0.1884057971,0.08,0
37,0.6202531646,0.7045454545,0.2173913043,0.04,0
38,0.5569620253,0.6818181818,0.1884057971,0.08,0
39,0.6455696203,0.7727272727,0.2173913043,0.08,0
40,0.6329113924,0.7954545455,0.1884057971,0.12,0
41,0.5696202532,0.5227272727,0.1884057971,0.12,0
42,0.5569620253,0.7272727273,0.1884057971,0.08,0
43,0.6329113924,0.7954545455,0.231884058,0.24,0
44,0.6455696203,0.8636363636,0.2753623188,0.16,0
45,0.6075949367,0.6818181818,0.2028985507,0.12,0
46,0.6455696203,0.8636363636,0.231884058,0.08,0
47,0.582278481,0.7272727273,0.2028985507,0.08,0
48,0.6708860759,0.8409090909,0.2173913043,0.08,0
49,0.6329113924,0.75,0.2028985507,0.08,0
50,0.8860759494,0.7272727273,0.6811594203,0.56,1
51,0.8101265823,0.7272727273,0.652173913,0.6,1
52,0.8734177215,0.7045454545,0.7101449275,0.6,1
53,0.6962025316,0.5227272727,0.5797101449,0.52,1
54,0.8227848101,0.6363636364,0.6666666667,0.6,1
55,0.7215189873,0.6363636364,0.652173913,0.52,1
56,0.7974683544,0.75,0.6811594203,0.64,1
57,0.6202531646,0.5454545455,0.4782608696,0.4,1
58,0.835443038,0.6590909091,0.6666666667,0.52,1
59,0.6582278481,0.6136363636,0.5652173913,0.56,1
60,0.6329113924,0.4545454545,0.5072463768,0.4,1
61,0.746835443,0.6818181818,0.6086956522,0.6,1
62,0.7594936709,0.5,0.5797101449,0.4,1
63,0.7721518987,0.6590909091,0.6811594203,0.56,1
64,0.7088607595,0.6590909091,0.5217391304,0.52,1
65,0.8481012658,0.7045454545,0.6376811594,0.56,1
66,0.7088607595,0.6818181818,0.652173913,0.6,1
67,0.7341772152,0.6136363636,0.5942028986,0.4,1
68,0.7848101266,0.5,0.652173913,0.6,1
69,0.7088607595,0.5681818182,0.5652173913,0.44,1
70,0.746835443,0.7272727273,0.6956521739,0.72,1
71,0.7721518987,0.6363636364,0.5797101449,0.52,1
72,0.7974683544,0.5681818182,0.7101449275,0.6,1
73,0.7721518987,0.6363636364,0.6811594203,0.48,1
74,0.8101265823,0.6590909091,0.6231884058,0.52,1
75,0.835443038,0.6818181818,0.6376811594,0.56,1
76,0.8607594937,0.6363636364,0.6956521739,0.56,1
77,0.8481012658,0.6818181818,0.7246376812,0.68,1
78,0.7594936709,0.6590909091,0.652173913,0.6,1
79,0.7215189873,0.5909090909,0.5072463768,0.4,1
80,0.6962025316,0.5454545455,0.5507246377,0.44,1
81,0.6962025316,0.5454545455,0.5362318841,0.4,1
82,0.7341772152,0.6136363636,0.5652173913,0.48,1
83,0.7594936709,0.6136363636,0.7391304348,0.64,1
84,0.6835443038,0.6818181818,0.652173913,0.6,1
85,0.7594936709,0.7727272727,0.652173913,0.64,1
86,0.8481012658,0.7045454545,0.6811594203,0.6,1
87,0.7974683544,0.5227272727,0.6376811594,0.52,1
88,0.7088607595,0.6818181818,0.5942028986,0.52,1
89,0.6962025316,0.5681818182,0.5797101449,0.52,1
90,0.6962025316,0.5909090909,0.6376811594,0.48,1
91,0.7721518987,0.6818181818,0.6666666667,0.56,1
92,0.7341772152,0.5909090909,0.5797101449,0.48,1
93,0.6329113924,0.5227272727,0.4782608696,0.4,1
94,0.7088607595,0.6136363636,0.6086956522,0.52,1
95,0.7215189873,0.6818181818,0.6086956522,0.48,1
96,0.7215189873,0.6590909091,0.6086956522,0.52,1
97,0.7848101266,0.6590909091,0.6231884058,0.52,1
98,0.6455696203,0.5681818182,0.4347826087,0.44,1
99,0.7215189873,0.6363636364,0.5942028986,0.52,1
100,0.7974683544,0.75,0.8695652174,1,2
101,0.7341772152,0.6136363636,0.7391304348,0.76,2
102,0.8987341772,0.6818181818,0.8550724638,0.84,2
103,0.7974683544,0.6590909091,0.8115942029,0.72,2
104,0.8227848101,0.6818181818,0.8405797101,0.88,2
105,0.9620253165,0.6818181818,0.9565217391,0.84,2
106,0.6202531646,0.5681818182,0.652173913,0.68,2
107,0.9240506329,0.6590909091,0.9130434783,0.72,2
108,0.8481012658,0.5681818182,0.8405797101,0.72,2
109,0.9113924051,0.8181818182,0.884057971,1,2
110,0.8227848101,0.7272727273,0.7391304348,0.8,2
111,0.8101265823,0.6136363636,0.768115942,0.76,2
112,0.8607594937,0.6818181818,0.7971014493,0.84,2
113,0.7215189873,0.5681818182,0.7246376812,0.8,2
114,0.7341772152,0.6363636364,0.7391304348,0.96,2
115,0.8101265823,0.7272727273,0.768115942,0.92,2
116,0.8227848101,0.6818181818,0.7971014493,0.72,2
117,0.9746835443,0.8636363636,0.9710144928,0.88,2
118,0.9746835443,0.5909090909,1,0.92,2
119,0.7594936709,0.5,0.7246376812,0.6,2
120,0.8734177215,0.7272727273,0.8260869565,0.92,2
121,0.7088607595,0.6363636364,0.7101449275,0.8,2
122,0.9746835443,0.6363636364,0.9710144928,0.8,2
123,0.7974683544,0.6136363636,0.7101449275,0.72,2
124,0.8481012658,0.75,0.8260869565,0.84,2
125,0.9113924051,0.7272727273,0.8695652174,0.72,2
126,0.7848101266,0.6363636364,0.6956521739,0.72,2
127,0.7721518987,0.6818181818,0.7101449275,0.72,2
128,0.8101265823,0.6363636364,0.8115942029,0.84,2
129,0.9113924051,0.6818181818,0.8405797101,0.64,2
130,0.9367088608,0.6363636364,0.884057971,0.76,2
131,1,0.8636363636,0.9275362319,0.8,2
132,0.8101265823,0.6363636364,0.8115942029,0.88,2
133,0.7974683544,0.6363636364,0.7391304348,0.6,2
134,0.7721518987,0.5909090909,0.8115942029,0.56,2
135,0.9746835443,0.6818181818,0.884057971,0.92,2
136,0.7974683544,0.7727272727,0.8115942029,0.96,2
137,0.8101265823,0.7045454545,0.7971014493,0.72,2
138,0.7594936709,0.6818181818,0.6956521739,0.72,2
139,0.8734177215,0.7045454545,0.7826086957,0.84,2
140,0.8481012658,0.7045454545,0.8115942029,0.96,2
141,0.8734177215,0.7045454545,0.7391304348,0.92,2
142,0.7341772152,0.6136363636,0.7391304348,0.76,2
143,0.8607594937,0.7272727273,0.8550724638,0.92,2
144,0.8481012658,0.75,0.8260869565,1,2
145,0.8481012658,0.6818181818,0.7536231884,0.92,2
146,0.7974683544,0.5681818182,0.7246376812,0.76,2
147,0.8227848101,0.6818181818,0.7536231884,0.8,2
148,0.7848101266,0.7727272727,0.7826086957,0.92,2
149,0.746835443,0.6818181818,0.7391304348,0.72,2